,,,,12 Team,,,14 Team,10 Team,,AAV,Health Report,,
Rank,Name,Team,Pos,Fantrax,MFL,NFFC,MFL,MFL,NFFC,MFL,Status,Injury,fp_PPR
185,A.J. Green,ARI,WR,187.11,-,193.78,-,-,187.63,$1.81 ,,,
186,Christian Kirk,ARI,WR,177.94,-,196.75,142.2,-,205.87,$1.78 ,,,
187,Deshaun Watson,HOU,QB,209.07,-,199.91,-,-,197.85,$2.37 ,,,
188,Anthony Firkser,TEN,TE,181.18,-,200.55,-,-,188.3,$3.65 ,,,
189,Devontae Booker,NYG,RB,188.7,-,200.94,-,-,201.29,$1.24 ,,,
190,Amon-Ra St. Brown,DET,WR,181.58,-,201.99,-,-,192.88,$1.74 ,,,
191,Marquez Valdes-Scantling,GB,WR,203.53,-,203.46,150.2,-,193.79,$1.58 ,Ques,Back,
192,Eric Ebron,PIT,TE,216.87,-,204.37,-,-,207.82,$2.13 ,IR,Knee,
193,Sammy Watkins,BAL,WR,205.56,-,206.44,-,-,201.61,$2.88 ,,,
194,Jared Goff,DET,QB,196.52,-,206.46,-,-,211.55,$5.00 ,,,
195,Tarik Cohen,CHI,RB,176.08,-,206.49,-,-,200.03,$1.84 ,PUP-R,Knee - ACL,
196,John Brown,FA,WR,250.64,-,211.64,-,-,200.9,$1.50 ,,,
197,Ty'Son Williams,BAL,RB,171.44,-,211.94,72,-,179.96,$4.68 ,,,
198,Marlon Mack,IND,RB,186.53,-,212.02,-,-,213.87,$1.59 ,,,
199,Darrynton Evans,TEN,RB,200.14,-,214.78,-,-,208.42,$1.00 ,IR,Knee,
200,Tyrell Williams,FA,WR,193.88,-,215.39,-,-,200.48,$2.26 ,Ques,Concussion,
201,Jerick McKinnon,KC,RB,205.09,-,218.7,-,-,209.33,$1.22 ,,,
202,Allen Lazard,GB,WR,195.94,-,219.19,-,-,212.64,$0.74 ,,,
203,Taysom Hill,NO,QB,191.73,-,221.9,-,-,208.02,$2.56 ,Ques,Foot,
204,Xavier Jones,LAR,RB,999,-,222.67,-,-,194.89,$2.65 ,IR,Achilles,
205,Salvon Ahmed,MIA,RB,199.61,-,223.17,-,-,213.66,$1.80 ,,,
206,Van Jefferson,LAR,WR,248.77,-,223.72,-,-,215.48,$1.02 ,,,
207,Tony Jones,NO,RB,191.33,-,224.46,-,-,194.02,$3.45 ,,,
208,Boston Scott,PHI,RB,201.9,-,225.09,-,-,209.01,$1.48 ,,,
